MarketCenter,Quarter,Exchange,OrderCode,CoveredOrders,CoveredShares,CancelledShares,MktCtrExecShares,AwayExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_60_299,ExecShares_5_30,AvgRealSpread,AvgEffecSpread,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,ATQShares,ATQ_AvgT,OTQShares,OTQ_AvgAmt,OTQ_AvgT,ExecShares,PrImp_TotalT,PrImp_TotalAmt,ATQ_TotalT,OTQ_TotalT,AvgRealSpread_T,AvgEffecSpread_T,PrImp_Pct,ATQ_Pct,OTQ_Pct,OrderType,PrImp_ExpAmt,All_AvgT,MktCtrAvg_PrImp_Pct,Rel_PrImp_Pct,MktCtrAvg_PrImp_AvgT,Rel_PrImp_AvgT,MktCtrAvg_PrImp_ExpAmt,Rel_PrImp_ExpAmt,MktCtrAvg_All_AvgT,Rel_All_AvgT
BNYC,2015Q4,NASDAQ,11,188374,38932797,8228,38921675,0,38892505,24275,1993,1118,634,0.019662598780756473,0.023496973909781633,35888883.0,0.008959330160818874,0.18915985766400123,2658863.0,0.3063758080051512,373929.0,18.67379999999998,11.860912365716485,38921675,6788735.9999999935,321540.3518999997,814611.3000000003,4435139.1,765301.2793999997,914541.582,0.9220796124524445,0.06831316997534151,0.00960721757221394,Market,0.008261215682521365,0.30930031659737134,0.8974598098470222,0.024619802605422292,0.13226003449236792,0.05689982317163331,0.01452719535821539,-0.006265979675694025,0.3120410991289498,-0.002740782531578445
BNYC,2015Q4,NASDAQ,12,30429,6498387,21222,6476765,0,6461019,7129,2105,3570,1831,0.028107088724077547,0.035729650064499796,5605448.0,0.0005942409777059728,0.13334730783337917,773543.0,5.0384442752374445,97774.0,4.054800000000002,21.28028514738069,6476765,747471.3999999997,3330.98689999999,3897453.299999999,2080658.5999999999,182043.0085000001,231412.54700000002,0.8654703389732374,0.11943354436975867,0.015096116657003921,Limit,0.0005142979404069763,1.0384170646920179,0.6596482220067906,0.2058221169664468,0.10368614708804001,0.029661160745339157,0.0062220107657186404,-0.005707712825311664,0.7901829342262525,0.24823413046576537
BNYC,2015Q4,NASDAQ,13,12046,2449499,571165,1830068,0,979037,232636,148449,268505,144580,0.049884871600399554,0.0,0.0,,,0.0,,0.0,0.0,,1830068,0.0,0.0,0.0,0.0,91292.7072,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q4,NASDAQ,14,10151,2163475,595039,1489901,0,426231,255389,178449,350391,203890,0.02434868732888964,0.0,0.0,,,0.0,,0.0,0.0,,1489901,0.0,0.0,0.0,0.0,36277.1336,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q4,NASDAQ,15,28772,6027286,2050499,3264394,0,310339,405744,348872,936947,799127,0.01818543885940239,0.0,0.0,,,0.0,,0.0,0.0,,3264394,0.0,0.0,0.0,0.0,59364.437500000015,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q4,NYSE,11,335938,70066834,2799,70060293,0,70017061,36499,3305,2378,1050,0.010043435276526753,0.012927674092085228,65661581.0,0.006247094913843151,0.13602823544562528,3881298.0,0.295896836573744,517414.0,16.143399999999975,1.2289278991291306,70060293,8931828.999999996,410194.1287000001,1148463.7999999993,635864.5,703646.0182000003,905716.6347,0.9372153353683519,0.05539939720206423,0.00738526742958383,Market,0.005854873154755434,0.1529562158696652,0.9194407080285526,0.017774627339799287,0.556826828009072,-0.42079859256344676,0.008307812218091258,-0.002452939063335824,0.744025198563588,-0.5910689826939227
BNYC,2015Q4,NYSE,12,33759,7263016,12854,7249581,0,7227484,12303,3051,5262,1130,0.019581640966560676,0.02393756792289099,6182979.0,0.00047511361432733216,0.1441559643013505,981353.0,2.7575341390916432,85249.0,4.3747000000000025,5.790489037994581,7249581,891313.2999999998,2937.617499999994,2706114.4000000013,493633.4,141958.6922999999,173537.33759999997,0.8528739798893205,0.13536685775357224,0.011759162357107259,Limit,0.0004052120391509514,0.5643169032803415,0.6403471661536854,0.2125268137356351,0.07577568244469048,0.06838028185666002,0.0037458054771853755,-0.003340593438034424,0.6717393156456578,-0.10742241236531636
BNYC,2015Q4,NYSE,13,7192,1496163,281559,1182265,0,649573,146899,88840,172144,91857,0.039563275830714784,0.0,0.0,,,0.0,,0.0,0.0,,1182265,0.0,0.0,0.0,0.0,46774.27630000001,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q4,NYSE,14,11476,2514572,579291,1849280,0,464339,353581,249010,457017,241486,0.012554045898944455,0.0,0.0,,,0.0,,0.0,0.0,,1849280,0.0,0.0,0.0,0.0,23215.946000000004,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q4,NYSE,15,34697,7347374,2103074,4238652,0,268859,436031,434579,1224589,1163859,0.017235826272126126,0.0,0.0,,,0.0,,0.0,0.0,,4238652,0.0,0.0,0.0,0.0,73056.66949999995,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
